index,hr_mean,hr_std,subject,label
0,83.08917855,20.18114918,2,1
1,79.55320936,17.72931493,2,1
2,78.4328922,16.21084703,2,1
3,77.69261519,15.12112454,2,1
4,78.50651218,15.53421381,2,1
5,77.72666027,14.70595621,2,1
6,78.88096442,17.76420971,2,1
7,81.41241688,20.91219195,2,1
8,81.09681796,19.9146028,2,1
9,76.50251494,16.01905692,2,1
10,74.85964125,11.90990018,2,1
11,74.47550027,10.95520722,2,1
12,72.70460314,9.068949393,2,1
13,72.07730112,7.28150552,2,1
14,71.89204613,7.341535456,2,1
15,73.83759121,11.21540811,2,1
16,77.04102439,14.91792668,2,1
17,78.90688437,16.51380993,2,1
18,78.62779841,16.88162873,2,1
19,75.28476473,13.80861856,2,1
20,74.82901879,14.35822236,2,1
21,73.15659488,12.1935994,2,1
22,71.59281458,9.272062574,2,1
23,71.07812229,7.748609876,2,1
24,70.59304363,5.922833909,2,1
25,70.07573854,5.712124453,2,1
26,74.06695007,12.84491323,2,1
27,72.97434204,11.59786089,2,1
28,76.07778286,15.31063285,2,1
29,75.9484322,12.57171939,2,1
30,75.01251016,9.261106313,2,1
31,75.68401097,9.587117038,2,1
32,91.83861384,21.20015378,2,2
33,94.02957361,24.17953701,2,2
34,95.72787195,26.20603856,2,2
35,96.24750755,27.94766204,2,2
36,85.1215011,22.33580368,2,2
37,75.40790839,14.78362574,2,2
38,84.59205518,18.93715002,2,2
39,88.8362969,20.78535002,2,2
40,91.80030544,22.59528017,2,2
41,89.85963303,22.31839987,2,2
42,81.92809602,16.81837877,2,2
43,82.29917569,18.24268567,2,2
44,82.52647592,18.17868726,2,2
45,81.93854097,17.9909712,2,2
46,75.74887436,16.20190567,2,0
47,72.87206011,13.61554779,2,0
48,75.8773037,16.10619963,2,0
49,80.57940738,19.29972145,2,0
50,74.3760682,15.90731079,2,0
51,73.31815207,15.21817109,2,0
52,70.01716823,11.616159,2,0
53,71.97597769,13.2040836,2,0
54,70.8997578,13.00183338,2,0
55,66.08729991,5.216276993,2,3
56,66.49746608,5.256799611,2,3
57,66.15664177,5.092258282,2,3
58,67.25945679,6.011805672,2,3
59,66.67889183,5.087695969,2,3
60,66.89621283,5.614693071,2,3
61,69.17527661,6.950161895,2,3
62,70.25198248,6.931402459,2,3
63,71.91817538,5.921252476,2,3
64,72.23457636,5.387375047,2,3
65,71.89437593,7.648050371,2,3
66,71.01655337,8.975561022,2,3
67,68.0782607,8.029813003,2,3
68,69.11638618,9.111644839,2,3
69,67.86172869,6.68440573,2,3
70,67.74329348,5.641455131,2,3
71,68.77217925,5.872960738,2,3
72,67.31910194,5.034851294,2,3
73,66.04193894,5.021116509,2,3
74,64.75737155,4.57619377,2,3
75,64.38932396,4.979869019,2,3
76,55.83792361,7.63865116,3,1
77,55.30278183,6.954979846,3,1
78,54.00075194,6.281550269,3,1
79,55.32211304,6.755018945,3,1
80,60.16475512,11.53561155,3,1
81,62.40246195,10.58945636,3,1
82,65.11216339,11.98671732,3,1
83,64.08813908,12.16161697,3,1
84,58.09257913,8.699724721,3,1
85,57.399832,9.657724502,3,1
86,60.03290096,11.57172246,3,1
87,58.41683364,9.18219428,3,1
88,66.77462396,13.38583145,3,1
89,59.90622613,10.84322907,3,1
90,56.4653696,7.644055536,3,1
91,55.66405159,7.288591527,3,1
92,54.28090375,5.59292034,3,1
93,53.92687059,6.266780139,3,1
94,54.96865026,9.007001453,3,1
95,55.29008463,9.416491407,3,1
96,55.94085678,9.352910375,3,1
97,56.62602513,10.2810161,3,1
98,55.18171875,7.993715482,3,1
99,59.65545061,11.87493046,3,1
100,56.41915131,8.998847843,3,1
101,55.57744093,7.974133072,3,1
102,55.04015813,7.839333207,3,1
103,53.6408947,6.268048296,3,1
104,53.80316449,5.013846169,3,1
105,104.3397867,18.37776148,3,2
106,98.46889227,16.68838022,3,2
107,94.58543562,18.3697279,3,2
108,98.25539895,20.39203093,3,2
109,100.0929373,22.1593067,3,2
110,98.24488679,22.54168965,3,2
111,96.50154365,21.89061606,3,2
112,91.2900462,21.56675661,3,2
113,83.29086987,15.74044309,3,2
114,89.47907493,17.68111763,3,2
115,90.28898708,15.46143185,3,2
116,93.44159196,14.77497635,3,2
117,94.0235208,14.83961758,3,2
